,team,opponent,W,L,GF,GA,SF,SA,PP%,PK%,FOW%,date,home_ind
299,STL,VAN,1,0,3,0,50,19,25.0,100.0,58.0,2016-03-19,0
300,SJS,CBJ,1,0,5,3,29,31,20.0,100.0,56.5,2015-11-22,0
301,SJS,NSH,1,0,2,2,40,30,0.0,100.0,70.9,2016-04-02,0
302,ANA,OTT,1,0,4,1,38,25,33.3,100.0,66.7,2016-01-13,1
303,NSH,BOS,1,0,3,2,33,17,28.6,66.7,45.5,2015-12-07,0
304,BUF,CBJ,1,0,4,0,35,38,20.0,100.0,47.3,2016-02-19,0
305,DAL,VAN,1,0,4,2,34,16,0.0,100.0,50.8,2015-12-03,0
306,OTT,VAN,1,0,3,2,25,35,50.0,66.7,42.3,2015-11-12,1
307,DET,NSH,1,0,3,2,23,26,33.3,100.0,50.9,2015-12-26,0
308,PIT,VAN,1,0,5,4,30,32,20.0,100.0,43.8,2016-01-23,1
309,OTT,CBJ,1,0,7,3,27,41,33.3,75.0,42.9,2015-10-14,0
310,WSH,DET,1,0,2,1,27,26,16.7,100.0,48.2,2015-11-18,0
311,MIN,CHI,1,0,6,1,32,32,16.7,100.0,47.8,2016-02-21,1
312,NYI,NJD,1,0,4,0,30,27,0.0,100.0,66.7,2015-12-13,1
313,COL,NYI,1,0,2,1,30,34,0.0,80.0,54.2,2015-12-17,1
314,EDM,MIN,1,0,2,1,25,30,0.0,100.0,27.3,2016-03-10,0
315,CHI,BOS,1,0,6,4,34,46,66.7,100.0,41.9,2016-04-03,1
316,BUF,ARI,1,0,2,1,28,27,66.7,100.0,36.8,2016-01-18,0
317,MIN,CHI,1,0,2,1,36,31,0.0,66.7,54.8,2015-12-01,0
318,STL,ARI,1,0,5,2,26,27,33.3,100.0,32.8,2016-04-04,1
319,BUF,MTL,1,0,6,4,22,30,0.0,33.3,62.1,2016-02-12,1
